0.22,0.49,G2 
0.5,0.78,A2 
0.79,1.05,A2#
1.11,1.35,C3 
1.4,1.96,D3 
1.97,2.5,E3 
2.53,3.08,F3 
3.14,3.67,G3 
3.7,4.27,G3#
4.29,4.55,A3 
4.56,4.86,A2 
4.87,6.15,D3 
6.72,6.9,D3 
6.94,7.2,C3 
7.23,7.79,A2#
7.81,8.41,F2#
8.44,8.98,G2 
8.99,9.57,D3 
9.58,11.12,G2 
12.06,12.36,D3#
12.37,12.64,D3 
12.71,13.19,C3 
13.28,13.85,G2 
13.86,14.45,D3 
14.46,15.04,D3#
15.05,16.28,D3 
16.91,17.45,G2 
17.46,18.05,D3 
18.06,18.62,C3 
18.63,18.92,F3 
18.93,19.22,E3 
19.23,19.51,D3 
19.52,19.8,C3#
19.82,20.43,D3 
20.47,21.03,A2 
21.04,22.2,D2
22.87,23.08,D3 
23.11,23.38,C3 
23.39,23.67,A2#
23.68,23.96,A2 
23.97,24.25,G2 
24.26,24.54,F2#
24.58,25.14,G2 
25.18,25.86,D2 
25.87,29.16,G2 
