0.21,0.8,G4 
0.81,1.35,F4 
1.4,1.89,F4 
1.91,2.5,G4 
2.53,3.05,A4 
3.06,3.62,G4 
3.69,4.26,F4 
4.27,4.74,E4 
4.82,6.15,D4 
6.83,7.23,F4 
7.24,7.76,G4 
7.79,8.31,A4 
8.32,8.91,G4 
8.92,9.51,F4#
9.52,11.12,G4 
12.04,12.62,C5 
12.66,12.92,G4 
12.93,13.19,A4 
13.25,13.74,A4#
13.8,14.38,A4 
14.39,15.03,G4 
15.04,16.28,A4 
16.98,17.43,G4 
17.54,18.03,F4 
18.04,18.59,G4 
18.6,19.17,A4 
19.18,19.74,G4 
19.75,20.4,F4 
20.41,20.98,E4 
21.07,22.39,D4 
22.9,23.35,F4 
23.36,23.94,G4 
23.95,24.52,A4 
24.56,25.05,G4 
25.17,25.74,F4#
25.75,29.19,G4 
